responsible,n_deals,actual_wr,expected_wr,total_amount_M,outperformance
18822575a05491c1,289,0.6055363321799307,0.6055426,29.695543682538204,-6.267974945961541e-06
b1805b6f9fb0309e,37,0.7837837837837838,0.78379047,0.779918799374264,-6.685385832927437e-06
d130f3f3f1f2a90f,401,0.9077306733167082,0.9077374,71.88611305764562,-6.700989016894532e-06
690e824204348d7d,248,0.6975806451612904,0.6975878,114.20542785300894,-7.14294372061719e-06
7b173f9ff638a5e0,16,0.75,0.7500084,0.5748492709263686,-8.404254913330078e-06
781792ba253b8d45,344,0.7325581395348837,0.7325667,463.7631802414561,-8.574751920509271e-06
ddaa38cf6118d6a1,51,0.5686274509803921,0.56863934,6.176264928788753,-1.1887036117874672e-05
4b4e7aa9d1b4264b,147,0.5306122448979592,0.5306301,53.96444650841791,-1.786679637671984e-05
d0d75806726a56d5,121,0.4132231404958678,0.41324145,78.602333434761,-1.8305522351214076e-05
9e271d581fe9a5f9,615,0.6991869918699187,0.69920677,60.65426357800105,-1.9777596481418414e-05
13e9b974b083387c,508,0.5374015748031497,0.5374231,123.36602378829015,-2.1499442303229976e-05
5d18314cb6437cb1,541,0.9944547134935305,0.9944774,0.5048793719373255,-2.2677749450417117e-05
9abdadbe0e79ffb0,139,0.8776978417266187,0.8777253,31.800578279742595,-2.7461446446497284e-05
acc2ad60b295c7d8,855,0.7777777777777778,0.7778079,134.02363946206856,-3.0113591088176683e-05
cbf8dd8b4b47540c,77,0.4935064935064935,0.49353865,14.627038392634924,-3.215438359743805e-05
914de968c25a0b03,51,0.6862745098039216,0.6863093,6.3502851565380265,-3.47682074004485e-05
aa551401d67d6c75,233,0.721030042918455,0.7210699,71.82138254930081,-3.982946084801764e-05
a058014489a3c2c5,357,0.5938375350140056,0.59388256,28.403227187327662,-4.502571597486682e-05
2ef34ff42835f2f5,21,0.3333333333333333,0.3333807,15.738494013035401,-4.736582438152892e-05
2948227e0c45da98,70,0.8714285714285714,0.8714761,7.680985107478783,-4.75423676626896e-05
65262337f20f817d,266,0.6203007518796992,0.62034833,48.048570541316586,-4.75824327397234e-05
72f39b27658cb2cb,29,0.4482758620689655,0.44833112,29.574643583821345,-5.5255561039357914e-05
