org_id,n_deals,n_won,win_rate,avg_deal_value,total_revenue,org_country,pricelist,deal_rate_yr,clv_estimate
6659b5d4a0e1bcd5,58,45,0.7758620689655172,168660.87791979936,6407960.256069681,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.666666666666666,2529913.16879699
04a0dd928925bec3,69,35,0.5072463768115942,216033.41544941775,1242158.6083232616,6b7e1f5b521de19b,6f9a9c5f2856c8b3,11.5,2520389.846909874
b973f1bf92b92123,102,70,0.6862745098039216,106476.561275717,9335664.083391681,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.0,2484453.096433397
6813250ffc14998b,192,136,0.7083333333333334,54596.468041118154,5445134.791967748,255414ab73601d72,28c9c64e5918b06e,32.0,2475039.8845306896
f0e188f003adb334,15,9,0.6,822518.2326748825,4953586.034105298,6b7e1f5b521de19b,6f9a9c5f2856c8b3,2.5,2467554.698024648
7f9054433905cd86,43,25,0.5813953488372093,289885.2273965213,6932738.336543405,6b7e1f5b521de19b,6f9a9c5f2856c8b3,7.166666666666667,2415710.228304344
c4784ba39a7eee01,23,14,0.6086956521739131,510985.0832291572,5850002.605099651,ac07a4f1ad9a4f67,d4f34f97b6d22a81,3.8333333333333335,2384597.0550694005
6ae1818f7b5cc74e,45,39,0.8666666666666667,183273.90701933423,7397315.077051036,6b7e1f5b521de19b,6f9a9c5f2856c8b3,7.5,2382560.791251345
ee93ddf64b981f5e,104,70,0.6730769230769231,101244.13291113434,670656.4255384181,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.333333333333332,2362363.101259801
74aba84c84b3281b,3,2,0.6666666666666666,3410035.512594092,183751.17943104697,6b7e1f5b521de19b,6f9a9c5f2856c8b3,0.5,2273357.008396061
35dd617ed05c0c12,47,29,0.6170212765957447,229243.67066635445,8187522.184079762,6b7e1f5b521de19b,,7.833333333333333,2216022.1497747595
bf23b8124a6d44b3,18,18,1.0,349652.1110656303,6293737.999181345,6b7e1f5b521de19b,6f9a9c5f2856c8b3,3.0,2097912.6663937815
2a7b917f3dac70ba,59,44,0.7457627118644068,140601.7020253913,6046854.134736707,255414ab73601d72,28c9c64e5918b06e,9.833333333333334,2062158.296372406
2dc71bf33e1ca12c,16,10,0.625,616404.178005252,2545926.6437878544,6b7e1f5b521de19b,6f9a9c5f2856c8b3,2.6666666666666665,2054680.5933508398
47b3b2ddd7e4cca9,38,29,0.7631578947368421,207132.7388181835,4336435.919195677,75c64824a2a4e380,28c9c64e5918b06e,6.333333333333333,2002283.1419091073
afd704c1145f56c6,14,13,0.9285714285714286,458784.9175918672,6397886.092342781,6b7e1f5b521de19b,d4f34f97b6d22a81,2.3333333333333335,1988067.9762314248
dca0205e9598a29c,75,45,0.6,132242.9111213097,6729897.064315479,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.5,1983643.6668196453
67ebd071f13dfb28,123,95,0.7723577235772358,62310.278800457316,5910720.3651854955,6b7e1f5b521de19b,6f9a9c5f2856c8b3,20.5,1973158.8286811484
ad7a88a861fce77e,88,46,0.5227272727272727,128092.00880359588,6709300.147893682,6b7e1f5b521de19b,6f9a9c5f2856c8b3,14.666666666666666,1964077.4683218033
9922aa7fb153e35d,18,18,1.0,320530.27217541845,5769544.899157533,7b7c16a1b24ec3b8,28c9c64e5918b06e,3.0,1923181.6330525107
435a53554e4e5d91,25,20,0.8,287405.81912529055,6646171.349333401,6b7e1f5b521de19b,6f9a9c5f2856c8b3,4.166666666666667,1916038.7941686038
da78ceb2b13f0c1e,56,43,0.7678571428571429,133034.47857839675,6433947.203546851,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.333333333333334,1906827.5262903539
8884fa1d406439a5,134,73,0.5447761194029851,77409.11069075094,6529565.685255667,6b7e1f5b521de19b,6f9a9c5f2856c8b3,22.333333333333332,1883621.6934749396
3b6063227e9ba507,57,27,0.47368421052631576,207222.5620110035,833089.3587779253,6b7e1f5b521de19b,2095e0b55fdf3180,9.5,1865003.0580990314
82ed884df0499041,40,26,0.65,212103.46792918607,5411763.88844087,6b7e1f5b521de19b,6f9a9c5f2856c8b3,6.666666666666667,1838230.0553862792
3cd9f5244874bfea,36,24,0.6666666666666666,229716.16287885868,8194142.180988115,6b7e1f5b521de19b,6f9a9c5f2856c8b3,6.0,1837729.3030308695
f93597ca51ab6f15,102,76,0.7450980392156863,71683.82174203095,7081775.903421836,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.0,1815990.1507981175
fd11ad2246bd1cec,393,304,0.7735368956743003,17798.07082334196,6668728.591687541,6b7e1f5b521de19b,6f9a9c5f2856c8b3,65.5,1803537.8434319852
517c23d3f19cbcee,74,60,0.8108108108108109,89689.51451600534,5703450.760524767,ddbd249e57ed6b40,28c9c64e5918b06e,12.333333333333334,1793790.2903201068
c235293e81be2282,24,21,0.875,254790.44664881087,5664779.621733539,7b7c16a1b24ec3b8,28c9c64e5918b06e,4.0,1783533.126541676
6b8ed0daabf9426c,12,10,0.8333333333333334,534111.8455069035,5231899.135677805,1bb1bb990c53f4fc,28c9c64e5918b06e,2.0,1780372.818356345
76d19c55a5e8c6c6,106,66,0.6226415094339622,80831.08547206841,4492983.33767298,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.666666666666668,1778283.880385505
2c204d9cc824f0c1,112,70,0.625,75620.42738256967,5088372.716886078,6b7e1f5b521de19b,6f9a9c5f2856c8b3,18.666666666666668,1764476.638926626
bcbe3e28c6b90ee0,78,58,0.7435897435897436,90896.70940109258,5152135.175456001,6b7e1f5b521de19b,6f9a9c5f2856c8b3,13.0,1757336.3817544566
91bbfa6b038d0002,65,46,0.7076923076923077,114013.31726432506,6620698.104231768,6b7e1f5b521de19b,6f9a9c5f2856c8b3,10.833333333333334,1748204.1980529844
