chance_id,shap_rank,feature,shap_value,feature_val
020544cf12d9a272,1,probability,-4.962565,55.0
020544cf12d9a272,2,prob_x_closing_rate,1.8317027,37.04312114989733
020544cf12d9a272,3,push_ratio,-0.6267564,0.9837837837837838
020544cf12d9a272,4,update_intensity,0.5691257,10.0
020544cf12d9a272,5,updates_last_30d,0.5217928,5.0
02062e7e2f8e9ef6,1,probability,-5.192769,60.0
02062e7e2f8e9ef6,2,prob_x_closing_rate,1.8425138,45.58979808714134
02062e7e2f8e9ef6,3,stage_x_prob,1.0645282,240.0
02062e7e2f8e9ef6,4,prob_volatility,-0.41925478,0.0
02062e7e2f8e9ef6,5,total_days_pushed,-0.37245917,30.0
0221790856832d6f,1,probability,-5.2650933,10.0
0221790856832d6f,2,prob_x_closing_rate,-0.6651927,5.976597659765977
0221790856832d6f,3,prob_volatility,-0.43348557,0.0
0221790856832d6f,4,log_amount,-0.33794826,4.600096544485748
0221790856832d6f,5,saledate_delta,-0.31505698,60.0
022c1555f7383c21,1,probability,-4.601249,50.0
022c1555f7383c21,2,prob_x_closing_rate,1.7252313,38.00967519004838
022c1555f7383c21,3,customer_win_ratio,1.4904822,1.0
022c1555f7383c21,4,stage_x_prob,1.0999782,200.0
022c1555f7383c21,5,updates_last_30d,0.49789008,11.0
0239b597d1184004,1,probability,-5.02278,15.0
0239b597d1184004,2,update_intensity,-0.55088925,0.03476245654692932
0239b597d1184004,3,log_amount,0.43243682,12.392108847684838
0239b597d1184004,4,total_days_pushed,-0.39503998,527.0
0239b597d1184004,5,customer_win_ratio,-0.33356467,0.5333333333333333
024350fd0cda0a27,1,probability,-4.650677,20.0
024350fd0cda0a27,2,prob_x_closing_rate,0.78947693,8.504672897196262
024350fd0cda0a27,3,stage_x_prob,0.70087194,60.0
024350fd0cda0a27,4,push_ratio,0.65546834,0.0
024350fd0cda0a27,5,prob_volatility,-0.595072,0.0
0247b695f12ace0a,1,probability,-5.290972,10.0
0247b695f12ace0a,2,prob_x_closing_rate,-1.2830323,4.166666666666667
0247b695f12ace0a,3,stage_x_prob,-0.9970862,30.0
0247b695f12ace0a,4,push_ratio,0.46202123,0.0
0247b695f12ace0a,5,prob_volatility,-0.42594093,0.0
025bdcf0cad7221f,1,probability,-4.69021,60.0
025bdcf0cad7221f,2,prob_x_closing_rate,1.7211977,28.71794871794872
025bdcf0cad7221f,3,push_ratio,0.65304774,0.0
025bdcf0cad7221f,4,stage_x_prob,0.6263152,180.0
025bdcf0cad7221f,5,prob_volatility,-0.59616536,0.0
02656a5f48cb6e7c,1,probability,-4.8303747,10.0
02656a5f48cb6e7c,2,stage_x_prob,0.98457724,40.0
02656a5f48cb6e7c,3,push_ratio,0.59665924,0.0
02656a5f48cb6e7c,4,prob_volatility,-0.56118906,0.0
02656a5f48cb6e7c,5,update_intensity,0.49615568,10.0
02656d4b0f32298a,1,probability,-5.2046638,10.0
02656d4b0f32298a,2,stage_x_prob,-1.008364,30.0
02656d4b0f32298a,3,prob_volatility,-0.44421032,0.0
02656d4b0f32298a,4,push_ratio,0.44352645,0.0
02656d4b0f32298a,5,customer_win_ratio,-0.3138865,0.5
0271c24df2a4d339,1,probability,-5.3016963,50.0
0271c24df2a4d339,2,prob_x_closing_rate,1.2113706,29.882988298829883
0271c24df2a4d339,3,stage_x_prob,1.0681853,200.0
0271c24df2a4d339,4,prob_volatility,-0.43825984,0.0
0271c24df2a4d339,5,log_amount,-0.35535413,7.087744665379786
0276686e3d1f6652,1,probability,-4.9005632,10.0
0276686e3d1f6652,2,prob_x_closing_rate,1.1927738,8.050632911392405
0276686e3d1f6652,3,stage_x_prob,-0.8814339,30.0
0276686e3d1f6652,4,push_ratio,0.60452926,0.0
0276686e3d1f6652,5,prob_volatility,-0.46395364,0.0
02e9f09e00f64192,1,probability,-5.3865333,15.0
02e9f09e00f64192,2,prob_volatility,-0.44478506,3.5355339059327378
02e9f09e00f64192,3,update_intensity,-0.3356583,0.2097902097902098
02e9f09e00f64192,4,customer_win_ratio,-0.33187863,0.45454545454545453
02e9f09e00f64192,5,close_date_shift,0.3317786,1.0
02eb81b82109e78f,1,probability,-5.170534,10.0
02eb81b82109e78f,2,stage_x_prob,-1.003666,30.0
02eb81b82109e78f,3,prob_volatility,-0.44347826,0.0
02eb81b82109e78f,4,push_ratio,0.440867,0.0
02eb81b82109e78f,5,prob_x_closing_rate,-0.29732692,5.616438356164384
02eee8275282a416,1,probability,-5.181844,10.0
02eee8275282a416,2,prob_x_closing_rate,-1.2818764,4.252336448598131
02eee8275282a416,3,stage_x_prob,-0.95587367,30.0
02eee8275282a416,4,customer_win_ratio,-0.5226839,0.0
02eee8275282a416,5,push_ratio,0.513941,0.0
02f2ac7475cc6524,1,probability,-5.283119,10.0
02f2ac7475cc6524,2,stage_x_prob,-1.0160501,30.0
02f2ac7475cc6524,3,push_ratio,0.55740154,0.0
02f2ac7475cc6524,4,prob_volatility,-0.47336802,0.0
02f2ac7475cc6524,5,saledate_delta,-0.30250573,90.0
02ffdbf29ae16985,1,probability,-5.149676,10.0
02ffdbf29ae16985,2,stage_x_prob,-0.98181033,30.0
02ffdbf29ae16985,3,push_ratio,0.5349817,0.0
02ffdbf29ae16985,4,prob_volatility,-0.44007054,0.0
02ffdbf29ae16985,5,prob_x_closing_rate,-0.4041134,4.791666666666667
0320249ad7e61803,1,probability,-4.895176,10.0
0320249ad7e61803,2,prob_x_closing_rate,0.9713198,6.944971537001897
0320249ad7e61803,3,stage_x_prob,-0.8592483,30.0
0320249ad7e61803,4,customer_win_ratio,-0.60159737,0.0
0320249ad7e61803,5,push_ratio,0.49776876,0.0
0327fc52f3c40a25,1,probability,-4.8849006,60.0
0327fc52f3c40a25,2,prob_x_closing_rate,2.0835166,41.873990306946695
0327fc52f3c40a25,3,stage_x_prob,1.4007272,240.0
0327fc52f3c40a25,4,push_ratio,-0.8111281,0.7419354838709677
0327fc52f3c40a25,5,update_intensity,0.57935447,9.375
032bdb741257e6a6,1,probability,-5.049443,10.0
032bdb741257e6a6,2,prob_x_closing_rate,0.96774846,6.978998384491115
032bdb741257e6a6,3,stage_x_prob,-0.9419321,30.0
032bdb741257e6a6,4,push_ratio,0.64038295,0.0
032bdb741257e6a6,5,prob_volatility,-0.4499633,0.0
036ab6cc1f62aff3,1,probability,-4.5369444,60.0
036ab6cc1f62aff3,2,prob_x_closing_rate,3.216933,49.726027397260275
036ab6cc1f62aff3,3,stage_x_prob,1.7591639,240.0
036ab6cc1f62aff3,4,push_ratio,0.72627825,0.0
036ab6cc1f62aff3,5,update_intensity,0.5652464,10.0
0375f4dbcc121905,1,probability,-5.0792336,60.0
0375f4dbcc121905,2,prob_x_closing_rate,1.5195273,33.19148936170213
0375f4dbcc121905,3,push_ratio,0.4978606,0.1623931623931624
0375f4dbcc121905,4,prob_volatility,0.43108755,25.81988897471611
0375f4dbcc121905,5,stage_x_prob,0.4027367,180.0
0379a682af30080e,1,prob_x_closing_rate,3.1553626,62.810985460420035
0379a682af30080e,2,stage_x_prob,1.8850337,540.0
0379a682af30080e,3,push_ratio,0.6651165,0.0
0379a682af30080e,4,prob_volatility,-0.39561105,5.477225575051663
0379a682af30080e,5,probability,-0.3785945,90.0
037a3d5a21c266d7,1,probability,-4.683126,33.0
037a3d5a21c266d7,2,prob_x_closing_rate,0.92691135,22.2258726899384
037a3d5a21c266d7,3,stage_x_prob,0.7401476,132.0
037a3d5a21c266d7,4,push_ratio,0.6188688,0.0
037a3d5a21c266d7,5,prob_volatility,-0.58677953,0.0
03884f17e5d0db68,1,probability,-4.8152547,10.0
03884f17e5d0db68,2,prob_x_closing_rate,1.3087045,8.714285714285715
03884f17e5d0db68,3,stage_x_prob,-0.8314482,30.0
03884f17e5d0db68,4,rep_closing_rate,0.7277178,0.8714285714285714
03884f17e5d0db68,5,push_ratio,0.46744013,0.0
03a009d02272bfe3,1,probability,-4.838172,10.0
03a009d02272bfe3,2,prob_x_closing_rate,1.2340918,8.287671232876711
03a009d02272bfe3,3,stage_x_prob,-0.87489337,30.0
03a009d02272bfe3,4,push_ratio,0.59786576,0.0
03a009d02272bfe3,5,prob_volatility,-0.43925604,0.0
03bddecc9d08f381,1,probability,-4.9259353,60.0
03bddecc9d08f381,2,prob_x_closing_rate,1.4426655,37.89473684210526
03bddecc9d08f381,3,total_days_pushed,-0.7231625,1280.0
03bddecc9d08f381,4,push_ratio,-0.5286917,0.7191011235955056
03bddecc9d08f381,5,log_amount,0.52584535,13.281096822539787
03c3c1cd7409f1f9,1,probability,-4.6433578,60.0
03c3c1cd7409f1f9,2,prob_x_closing_rate,2.477623,43.24237560192616
03c3c1cd7409f1f9,3,stage_x_prob,1.7434474,240.0
03c3c1cd7409f1f9,4,push_ratio,0.68105257,0.0
03c3c1cd7409f1f9,5,update_intensity,0.56378883,10.0
03cfd79221248841,1,probability,-5.560986,1.0
03cfd79221248841,2,prob_x_closing_rate,-2.7071464,0.28717948717948716
03cfd79221248841,3,stage_x_prob,-1.6418631,1.0
03cfd79221248841,4,prob_volatility,-0.43447223,0.0
03cfd79221248841,5,push_ratio,0.39181742,0.0
03dd6dfefc04ac70,1,probability,-4.798835,10.0
03dd6dfefc04ac70,2,prob_x_closing_rate,-1.307062,4.252336448598131
03dd6dfefc04ac70,3,stage_x_prob,1.0052,40.0
03dd6dfefc04ac70,4,push_ratio,0.5819475,0.0
03dd6dfefc04ac70,5,prob_volatility,-0.571819,0.0
03edf963b73890aa,1,probability,-4.9005833,75.0
03edf963b73890aa,2,prob_x_closing_rate,2.8102481,55.85106382978723
03edf963b73890aa,3,stage_x_prob,1.5278001,300.0
03edf963b73890aa,4,log_amount,0.4353772,12.326577506144714
03edf963b73890aa,5,updates_last_30d,0.39615926,5.0
0412df1b35c081f4,1,probability,-5.322886,30.0
0412df1b35c081f4,2,push_ratio,-0.69846857,0.9508547008547008
0412df1b35c081f4,3,update_intensity,-0.5091001,0.07751937984496124
0412df1b35c081f4,4,prob_volatility,-0.45671478,0.0
0412df1b35c081f4,5,log_amount,0.43889087,10.650554921851448
041948f4a103d6f9,1,probability,-5.1573014,10.0
041948f4a103d6f9,2,stage_x_prob,-0.95697093,30.0
041948f4a103d6f9,3,push_ratio,0.56032723,0.0
041948f4a103d6f9,4,prob_volatility,-0.4625329,0.0
041948f4a103d6f9,5,prob_x_closing_rate,0.43555206,6.366366366366366
0428dcad09f0ba51,1,probability,-5.1769204,70.0
0428dcad09f0ba51,2,prob_x_closing_rate,2.8755863,54.44444444444444
0428dcad09f0ba51,3,stage_x_prob,1.146226,210.0
0428dcad09f0ba51,4,log_amount,0.40905547,12.766337655211043
0428dcad09f0ba51,5,prob_volatility,-0.39357758,0.0
0433ebb507928e28,1,probability,-5.0034785,10.0
0433ebb507928e28,2,prob_x_closing_rate,1.1376182,7.555555555555555
0433ebb507928e28,3,stage_x_prob,-0.93150353,30.0
0433ebb507928e28,4,push_ratio,0.55137223,0.0
0433ebb507928e28,5,prob_volatility,-0.46874312,0.0
043fd8f8d10d08c0,1,probability,-5.1813903,10.0
043fd8f8d10d08c0,2,stage_x_prob,-1.0117952,30.0
043fd8f8d10d08c0,3,push_ratio,0.5141456,0.0
043fd8f8d10d08c0,4,prob_volatility,-0.45844305,0.0
043fd8f8d10d08c0,5,prob_x_closing_rate,-0.39025226,5.8733624454148465
044079ac77db8215,1,probability,-4.6485047,70.0
044079ac77db8215,2,prob_x_closing_rate,2.4844458,40.008779631255486
044079ac77db8215,3,stage_x_prob,1.7668868,280.0
044079ac77db8215,4,push_ratio,0.69066346,0.0
044079ac77db8215,5,update_intensity,0.5313867,10.0
044328c63b05b6b0,1,prob_x_closing_rate,2.6685233,70.0
044328c63b05b6b0,2,stage_x_prob,1.3745707,360.0
044328c63b05b6b0,3,probability,-0.7814674,90.0
044328c63b05b6b0,4,customer_win_ratio,0.31259978,0.875
044328c63b05b6b0,5,prob_volatility,-0.2975494,0.0
044b0f0c2b5703bf,1,probability,-4.833657,60.0
044b0f0c2b5703bf,2,prob_x_closing_rate,2.7136214,50.05547850208044
044b0f0c2b5703bf,3,stage_x_prob,1.4611727,240.0
044b0f0c2b5703bf,4,update_intensity,0.5691379,10.0
044b0f0c2b5703bf,5,prob_volatility,-0.42282665,0.0
0454cc9dfdb125f9,1,probability,-4.6022086,70.0
0454cc9dfdb125f9,2,prob_x_closing_rate,2.5201206,43.58490566037736
0454cc9dfdb125f9,3,stage_x_prob,1.8816155,280.0
0454cc9dfdb125f9,4,push_ratio,0.52415246,0.0
0454cc9dfdb125f9,5,prob_volatility,-0.5091735,0.0
046ea1701cbba93f,1,probability,-4.4837503,10.0
046ea1701cbba93f,2,prob_x_closing_rate,1.6911896,7.601935038009675
046ea1701cbba93f,3,stage_x_prob,-0.8182978,30.0
046ea1701cbba93f,4,push_ratio,0.68320376,0.0
046ea1701cbba93f,5,saledate_delta,0.67008615,0.0
048247b97e8f70de,1,probability,-4.238787,10.0
048247b97e8f70de,2,rep_closing_rate,1.026438,1.0
048247b97e8f70de,3,push_ratio,0.7505427,0.0
048247b97e8f70de,4,prob_x_closing_rate,0.69817877,10.0
048247b97e8f70de,5,customer_win_ratio,-0.6249893,0.0
0492156d33f1006a,1,probability,-4.6405993,60.0
0492156d33f1006a,2,prob_x_closing_rate,2.6281967,46.666666666666664
0492156d33f1006a,3,stage_x_prob,0.84577274,180.0
0492156d33f1006a,4,update_intensity,0.5949618,10.0
0492156d33f1006a,5,push_ratio,0.5758068,0.0
049f851f322e218a,1,probability,-4.875866,10.0
049f851f322e218a,2,stage_x_prob,1.0122188,40.0
049f851f322e218a,3,push_ratio,0.6018638,0.0
049f851f322e218a,4,prob_volatility,-0.59742993,0.0
049f851f322e218a,5,update_intensity,0.51641613,10.0
04abfd466d6ba111,1,prob_x_closing_rate,3.0285568,53.202755905511815
04abfd466d6ba111,2,stage_x_prob,1.8692623,594.0
04abfd466d6ba111,3,push_ratio,0.65125763,0.0
04abfd466d6ba111,4,probability,-0.47155732,99.0
04abfd466d6ba111,5,prob_volatility,-0.39694542,0.0
04baa2539420bbb7,1,probability,-5.161551,0.0
04baa2539420bbb7,2,prob_x_closing_rate,-2.2803009,0.0
04baa2539420bbb7,3,stage_x_prob,-1.4405813,0.0
04baa2539420bbb7,4,deal_share_rep,-0.47957575,1.0
04baa2539420bbb7,5,log_amount,0.40512377,14.581805479173282
04d0609713507ec7,1,probability,-4.5487604,70.0
04d0609713507ec7,2,prob_x_closing_rate,3.328325,50.44943820224719
04d0609713507ec7,3,stage_x_prob,1.8551538,280.0
04d0609713507ec7,4,push_ratio,0.69055563,0.0
04d0609713507ec7,5,update_intensity,0.49819642,10.0
